Feature,Importance
PREV_AMT_APPLICATION_SIZE,0
FLAG_DOCUMENT_12,0
FLAG_DOCUMENT_19,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_21,0
BURO_CREDIT_DAY_OVERDUE_MIN,0
PREV_DAYS_FIRST_DUE_SIZE,0
PREV_DAYS_LAST_DUE_1ST_VERSION_SIZE,0
PREV_DAYS_LAST_DUE_SIZE,0
FLAG_DOCUMENT_4,0
PREV_SELLERPLACE_AREA_SIZE,0
PREV_RATE_INTEREST_PRIVILEGED_SIZE,0
FLAG_DOCUMENT_7,0
PREV_RATE_INTEREST_PRIMARY_SIZE,0
FLAG_CONT_MOBILE,0
FLAG_MOBIL,0
BURO_AMT_CREDIT_SUM_OVERDUE_MIN,0
BURO_CNT_CREDIT_PROLONG_MIN,0
PREV_NFLAG_LAST_APPL_IN_DAY_MAX,0
FLAG_DOCUMENT_10,0
